"jurisdiction","week_of_allocations","total_first_doses","total_second_doses"
"Texas","2021-03-22T00:00:00.000","359190","359190"
"U.S. Virgin Islands","2021-03-22T00:00:00.000","2340","2340"
"Utah","2021-03-22T00:00:00.000","37440","37440"
"Vermont","2021-03-22T00:00:00.000","9360","9360"
"Virginia","2021-03-22T00:00:00.000","114660","114660"
"Washington","2021-03-22T00:00:00.000","100620","100620"
"West Virginia","2021-03-22T00:00:00.000","25740","25740"
"Wisconsin","2021-03-22T00:00:00.000","79560","79560"
"Wyoming","2021-03-22T00:00:00.000","8190","8190"
"Alabama","2021-03-29T00:00:00.000","80730","80730"
"Alaska","2021-03-29T00:00:00.000","91260","79560"
"American Samoa","2021-03-29T00:00:00.000","11700","0"
"Arizona","2021-03-29T00:00:00.000","114660","114660"
"Arkansas","2021-03-29T00:00:00.000","49140","49140"
"California","2021-03-29T00:00:00.000","644670","644670"
"Chicago","2021-03-29T00:00:00.000","45630","45630"
"Colorado","2021-03-29T00:00:00.000","92430","92430"
"Connecticut","2021-03-29T00:00:00.000","60840","60840"
"Delaware","2021-03-29T00:00:00.000","16380","16380"
"District of Columbia","2021-03-29T00:00:00.000","12870","12870"
"Federal Entities","2021-03-29T00:00:00.000","201240","201240"
"Florida","2021-03-29T00:00:00.000","352170","352170"
"Georgia","2021-03-29T00:00:00.000","167310","167310"
"Guam","2021-03-29T00:00:00.000","25740","0"
"Hawaii","2021-03-29T00:00:00.000","24570","24570"
"Idaho","2021-03-29T00:00:00.000","26910","26910"
"Illinois","2021-03-29T00:00:00.000","167310","167310"
"Indiana","2021-03-29T00:00:00.000","108810","108810"
"Iowa","2021-03-29T00:00:00.000","51480","51480"
"Kansas","2021-03-29T00:00:00.000","47970","47970"
"Kentucky","2021-03-29T00:00:00.000","73710","73710"
"Louisiana","2021-03-29T00:00:00.000","77220","77220"
"Maine","2021-03-29T00:00:00.000","23400","23400"
"Mariana Islands","2021-03-29T00:00:00.000","11700","0"
"Marshall Islands","2021-03-29T00:00:00.000","0","0"
"Maryland","2021-03-29T00:00:00.000","100620","100620"
"Massachusetts","2021-03-29T00:00:00.000","117000","117000"
"Michigan","2021-03-29T00:00:00.000","166140","166140"
"Micronesia","2021-03-29T00:00:00.000","0","0"
"Minnesota","2021-03-29T00:00:00.000","91260","91260"
"Mississippi","2021-03-29T00:00:00.000","49140","49140"
"Missouri","2021-03-29T00:00:00.000","101790","101790"
"Montana","2021-03-29T00:00:00.000","17550","17550"
"Nebraska","2021-03-29T00:00:00.000","31590","31590"
"Nevada","2021-03-29T00:00:00.000","49140","49140"
"New Hampshire","2021-03-29T00:00:00.000","23400","23400"
"New Jersey","2021-03-29T00:00:00.000","148590","148590"
"New Mexico","2021-03-29T00:00:00.000","35100","35100"
"New York","2021-03-29T00:00:00.000","188370","188370"
"New York City","2021-03-29T00:00:00.000","143910","143910"
"North Carolina","2021-03-29T00:00:00.000","168480","168480"
"North Dakota","2021-03-29T00:00:00.000","12870","12870"
"Ohio","2021-03-29T00:00:00.000","194220","194220"
"Oklahoma","2021-03-29T00:00:00.000","64350","64350"
"Oregon","2021-03-29T00:00:00.000","70200","70200"
"Palau","2021-03-29T00:00:00.000","0","0"
"Pennsylvania","2021-03-29T00:00:00.000","190710","190710"
"Philadelphia","2021-03-29T00:00:00.000","26910","26910"
"Puerto Rico","2021-03-29T00:00:00.000","58500","58500"
"Rhode Island","2021-03-29T00:00:00.000","18720","18720"
"South Carolina","2021-03-29T00:00:00.000","83070","83070"
"South Dakota","2021-03-29T00:00:00.000","14040","14040"
"Tennessee","2021-03-29T00:00:00.000","111150","111150"
"Texas","2021-03-29T00:00:00.000","441090","441090"
"U.S. Virgin Islands","2021-03-29T00:00:00.000","2340","2340"
"Utah","2021-03-29T00:00:00.000","46800","46800"
"Vermont","2021-03-29T00:00:00.000","11700","11700"
"Virginia","2021-03-29T00:00:00.000","140400","140400"
"Washington","2021-03-29T00:00:00.000","122850","122850"
"West Virginia","2021-03-29T00:00:00.000","31590","31590"
"Wisconsin","2021-03-29T00:00:00.000","97110","97110"
"Wyoming","2021-03-29T00:00:00.000","10530","10530"
"Alabama","2021-04-05T00:00:00.000","66690","66690"
"Alaska","2021-04-05T00:00:00.000","0","0"
"American Samoa","2021-04-05T00:00:00.000","0","0"
"Arizona","2021-04-05T00:00:00.000","93600","93600"
"Arkansas","2021-04-05T00:00:00.000","39780","39780"
"California","2021-04-05T00:00:00.000","524160","524160"
"Chicago","2021-04-05T00:00:00.000","37440","37440"
"Colorado","2021-04-05T00:00:00.000","74880","74880"
"Connecticut","2021-04-05T00:00:00.000","50310","50310"
"Delaware","2021-04-05T00:00:00.000","14040","14040"
"District of Columbia","2021-04-05T00:00:00.000","10530","10530"
"Federal Entities","2021-04-05T00:00:00.000","243360","243360"
"Florida","2021-04-05T00:00:00.000","286650","286650"
"Georgia","2021-04-05T00:00:00.000","136890","136890"
"Guam","2021-04-05T00:00:00.000","0","0"
"Hawaii","2021-04-05T00:00:00.000","19890","19890"
"Idaho","2021-04-05T00:00:00.000","22230","22230"
"Illinois","2021-04-05T00:00:00.000","136890","136890"
"Indiana","2021-04-05T00:00:00.000","88920","88920"
"Iowa","2021-04-05T00:00:00.000","42120","42120"
"Kansas","2021-04-05T00:00:00.000","38610","38610"
"Kentucky","2021-04-05T00:00:00.000","60840","60840"
"Louisiana","2021-04-05T00:00:00.000","62010","62010"
"Maine","2021-04-05T00:00:00.000","19890","19890"
"Mariana Islands","2021-04-05T00:00:00.000","0","0"
"Marshall Islands","2021-04-05T00:00:00.000","0","0"
"Maryland","2021-04-05T00:00:00.000","81900","81900"
"Massachusetts","2021-04-05T00:00:00.000","95940","95940"
"Michigan","2021-04-05T00:00:00.000","135720","135720"
"Micronesia","2021-04-05T00:00:00.000","0","0"
"Minnesota","2021-04-05T00:00:00.000","74880","74880"
"Mississippi","2021-04-05T00:00:00.000","39780","39780"
"Missouri","2021-04-05T00:00:00.000","83070","83070"
"Montana","2021-04-05T00:00:00.000","15210","15210"
"Nebraska","2021-04-05T00:00:00.000","25740","25740"
"Nevada","2021-04-05T00:00:00.000","39780","39780"
"New Hampshire","2021-04-05T00:00:00.000","19890","19890"
"New Jersey","2021-04-05T00:00:00.000","120510","120510"
"New Mexico","2021-04-05T00:00:00.000","29250","29250"
"New York","2021-04-05T00:00:00.000","153270","153270"
"New York City","2021-04-05T00:00:00.000","117000","117000"
"North Carolina","2021-04-05T00:00:00.000","138060","138060"
"North Dakota","2021-04-05T00:00:00.000","10530","10530"
"Ohio","2021-04-05T00:00:00.000","157950","157950"
"Oklahoma","2021-04-05T00:00:00.000","52650","52650"
"Oregon","2021-04-05T00:00:00.000","57330","57330"
"Palau","2021-04-05T00:00:00.000","0","0"
"Pennsylvania","2021-04-05T00:00:00.000","155610","155610"
"Philadelphia","2021-04-05T00:00:00.000","22230","22230"
"Puerto Rico","2021-04-05T00:00:00.000","47970","47970"
"Rhode Island","2021-04-05T00:00:00.000","15210","15210"
"South Carolina","2021-04-05T00:00:00.000","67860","67860"
"South Dakota","2021-04-05T00:00:00.000","11700","11700"
"Tennessee","2021-04-05T00:00:00.000","90090","90090"
"Texas","2021-04-05T00:00:00.000","359190","359190"
"U.S. Virgin Islands","2021-04-05T00:00:00.000","2340","2340"
"Utah","2021-04-05T00:00:00.000","37440","37440"
"Vermont","2021-04-05T00:00:00.000","9360","9360"
"Virginia","2021-04-05T00:00:00.000","114660","114660"
"Washington","2021-04-05T00:00:00.000","100620","100620"
"West Virginia","2021-04-05T00:00:00.000","25740","25740"
"Wisconsin","2021-04-05T00:00:00.000","79560","79560"
"Wyoming","2021-04-05T00:00:00.000","8190","8190"
"Alabama","2021-04-12T00:00:00.000","67860","67860"
"Alaska","2021-04-12T00:00:00.000","0","0"
"American Samoa","2021-04-12T00:00:00.000","0","0"
"Arizona","2021-04-12T00:00:00.000","95940","95940"
"Arkansas","2021-04-12T00:00:00.000","40950","40950"
"California","2021-04-12T00:00:00.000","535860","535860"
"Chicago","2021-04-12T00:00:00.000","37440","37440"
"Colorado","2021-04-12T00:00:00.000","76050","76050"
"Connecticut","2021-04-12T00:00:00.000","51480","51480"
"Delaware","2021-04-12T00:00:00.000","14040","14040"
"District of Columbia","2021-04-12T00:00:00.000","10530","10530"
"Federal Entities","2021-04-12T00:00:00.000","201240","201240"
"Florida","2021-04-12T00:00:00.000","293670","293670"
"Georgia","2021-04-12T00:00:00.000","139230","139230"
"Guam","2021-04-12T00:00:00.000","0","0"
"Hawaii","2021-04-12T00:00:00.000","19890","19890"
