"jurisdiction","week_of_allocations","total_first_doses","total_second_doses"
"New York City","2021-06-21T00:00:00.000","128070","128070"
"North Carolina","2021-06-21T00:00:00.000","149940","149940"
"North Dakota","2021-06-21T00:00:00.000","11520","11520"
"Ohio","2021-06-21T00:00:00.000","172530","172530"
"Oklahoma","2021-06-21T00:00:00.000","57600","57600"
"Oregon","2021-06-21T00:00:00.000","62190","62190"
"Palau","2021-06-21T00:00:00.000","0","0"
"Pennsylvania","2021-06-21T00:00:00.000","170460","170460"
"Philadelphia","2021-06-21T00:00:00.000","24660","24660"
"Puerto Rico","2021-06-21T00:00:00.000","52290","52290"
"Rhode Island","2021-06-21T00:00:00.000","17280","17280"
"South Carolina","2021-06-21T00:00:00.000","74160","74160"
"South Dakota","2021-06-21T00:00:00.000","13140","13140"
"Tennessee","2021-06-21T00:00:00.000","98820","98820"
"Texas","2021-06-21T00:00:00.000","393660","393660"
"U.S. Virgin Islands","2021-06-21T00:00:00.000","3240","3240"
"Utah","2021-06-21T00:00:00.000","41220","41220"
"Vermont","2021-06-21T00:00:00.000","11070","11070"
"Virginia","2021-06-21T00:00:00.000","126000","126000"
"Washington","2021-06-21T00:00:00.000","109170","109170"
"West Virginia","2021-06-21T00:00:00.000","28800","28800"
"Wisconsin","2021-06-21T00:00:00.000","85680","85680"
"Wyoming","2021-06-21T00:00:00.000","9450","9450"
