"country_name","month","deaths_on_last_day"
"Dominica","2020-07","0.0"
"Dominica","2020-08","0.0"
"Dominica","2020-09","0.0"
"Dominican Republic","2020-05","498.0"
"Dominican Republic","2020-06","733.0"
"Dominican Republic","2020-07","1146.0"
"Dominican Republic","2020-08","1681.0"
"Dominican Republic","2020-09","2101.0"
"Ecuador","2020-05","3334.0"
"Ecuador","2020-06","4502.0"
"Ecuador","2020-07","5657.0"
"Ecuador","2020-08","6555.0"
"Ecuador","2020-09","11312.0"
"Egypt","2020-05","913.0"
"Egypt","2020-06","2872.0"
"Egypt","2020-07","4774.0"
"Egypt","2020-08","5399.0"
"Egypt","2020-09","5914.0"
"El Salvador","2020-05","46.0"
"El Salvador","2020-06","164.0"
"El Salvador","2020-07","439.0"
"El Salvador","2020-08","717.0"
"El Salvador","2020-09","843.0"
"Equatorial Guinea","2020-05","12.0"
"Equatorial Guinea","2020-06","32.0"
"Equatorial Guinea","2020-07","51.0"
"Equatorial Guinea","2020-08","83.0"
"Equatorial Guinea","2020-09","83.0"
"Eritrea","2020-05","0.0"
"Eritrea","2020-06","0.0"
"Eritrea","2020-07","0.0"
"Eritrea","2020-08","0.0"
"Eritrea","2020-09","0.0"
"Estonia","2020-05","63.0"
"Estonia","2020-06","63.0"
"Estonia","2020-07","63.0"
"Estonia","2020-08","64.0"
"Estonia","2020-09","64.0"
"Ethiopia","2020-05","8.0"
"Ethiopia","2020-06","103.0"
"Ethiopia","2020-07","263.0"
"Ethiopia","2020-08","793.0"
"Ethiopia","2020-09","1191.0"
"Faeroe Islands","2020-05","0.0"
"Faeroe Islands","2020-06","0.0"
"Faeroe Islands","2020-07","0.0"
"Faeroe Islands","2020-08","0.0"
"Faeroe Islands","2020-09","0.0"
"Falkland Islands","2020-05","0.0"
"Falkland Islands","2020-06","0.0"
"Falkland Islands","2020-07","0.0"
"Falkland Islands","2020-08","0.0"
"Falkland Islands","2020-09","0.0"
"Fiji","2020-05","0.0"
"Fiji","2020-06","0.0"
"Fiji","2020-07","0.0"
"Fiji","2020-08","2.0"
"Fiji","2020-09","2.0"
"Finland","2020-05","316.0"
"Finland","2020-06","328.0"
"Finland","2020-07","329.0"
"Finland","2020-08","335.0"
"Finland","2020-09","345.0"
"France","2020-05","28771.0"
"France","2020-06","29813.0"
"France","2020-07","30254.0"
"France","2020-08","30606.0"
"France","2020-09","31893.0"
"French Polynesia","2020-05","0.0"
"French Polynesia","2020-06","0.0"
"French Polynesia","2020-07","0.0"
"French Polynesia","2020-08","0.0"
"French Polynesia","2020-09","7.0"
"Gabon","2020-05","17.0"
"Gabon","2020-06","42.0"
"Gabon","2020-07","49.0"
"Gabon","2020-08","53.0"
"Gabon","2020-09","54.0"
"Gambia","2020-05","1.0"
"Gambia","2020-06","2.0"
"Gambia","2020-07","8.0"
"Gambia","2020-08","96.0"
"Gambia","2020-09","112.0"
"Georgia","2020-05","12.0"
"Georgia","2020-06","15.0"
"Georgia","2020-07","17.0"
"Georgia","2020-08","19.0"
"Georgia","2020-09","33.0"
"Germany","2020-05","8500.0"
"Germany","2020-06","8973.0"
"Germany","2020-07","9141.0"
"Germany","2020-08","9298.0"
"Germany","2020-09","9488.0"
"Ghana","2020-05","35.0"
"Ghana","2020-06","112.0"
"Ghana","2020-07","175.0"
"Ghana","2020-08","276.0"
"Ghana","2020-09","301.0"
"Gibraltar","2020-05","0.0"
"Gibraltar","2020-06","0.0"
"Gibraltar","2020-07","0.0"
"Gibraltar","2020-08","0.0"
"Gibraltar","2020-09","0.0"
"Greece","2020-05","175.0"
"Greece","2020-06","191.0"
"Greece","2020-07","203.0"
"Greece","2020-08","262.0"
"Greece","2020-09","388.0"
"Greenland","2020-05","0.0"
"Greenland","2020-06","0.0"
"Greenland","2020-07","0.0"
"Greenland","2020-08","0.0"
"Greenland","2020-09","0.0"
"Grenada","2020-05","0.0"
"Grenada","2020-06","0.0"
"Grenada","2020-07","0.0"
"Grenada","2020-08","0.0"
"Grenada","2020-09","0.0"
"Guam","2020-05","5.0"
"Guam","2020-06","5.0"
"Guam","2020-07","5.0"
"Guam","2020-08","10.0"
"Guam","2020-09","47.0"
"Guatemala","2020-05","102.0"
"Guatemala","2020-06","746.0"
"Guatemala","2020-07","1867.0"
"Guatemala","2020-08","2740.0"
"Guatemala","2020-09","3238.0"
"Guernsey","2020-05","13.0"
"Guernsey","2020-06","13.0"
"Guernsey","2020-07","13.0"
"Guernsey","2020-08","13.0"
"Guernsey","2020-09","13.0"
"Guinea","2020-05","23.0"
"Guinea","2020-06","31.0"
"Guinea","2020-07","46.0"
"Guinea","2020-08","59.0"
"Guinea","2020-09","66.0"
"Guinea-Bissau","2020-05","8.0"
"Guinea-Bissau","2020-06","21.0"
"Guinea-Bissau","2020-07","26.0"
"Guinea-Bissau","2020-08","34.0"
"Guinea-Bissau","2020-09","39.0"
"Guyana","2020-05","12.0"
"Guyana","2020-06","12.0"
"Guyana","2020-07","20.0"
"Guyana","2020-08","37.0"
"Guyana","2020-09","78.0"
"Haiti","2020-05","41.0"
"Haiti","2020-06","105.0"
"Haiti","2020-07","161.0"
"Haiti","2020-08","201.0"
"Haiti","2020-09","227.0"
"Honduras","2020-05","201.0"
"Honduras","2020-06","485.0"
"Honduras","2020-07","1312.0"
"Honduras","2020-08","1858.0"
"Honduras","2020-09","2323.0"
"Hong Kong","2020-05","0.0"
"Hong Kong","2020-06","0.0"
"Hong Kong","2020-07","0.0"
"Hong Kong","2020-08","0.0"
"Hong Kong","2020-09","0.0"
"Hungary","2020-05","524.0"
"Hungary","2020-06","585.0"
"Hungary","2020-07","596.0"
"Hungary","2020-08","614.0"
"Hungary","2020-09","765.0"
"Iceland","2020-05","10.0"
"Iceland","2020-06","10.0"
"Iceland","2020-07","10.0"
"Iceland","2020-08","10.0"
"Iceland","2020-09","10.0"
"India","2020-05","5164.0"
"India","2020-06","16893.0"
"India","2020-07","35747.0"
"India","2020-08","64469.0"
"India","2020-09","97497.0"
"Indonesia","2020-05","1573.0"
"Indonesia","2020-06","2805.0"
"Indonesia","2020-07","5058.0"
"Indonesia","2020-08","7343.0"
"Indonesia","2020-09","10601.0"
"International","2020-05","7.0"
"International","2020-06","7.0"
"International","2020-07","7.0"
"International","2020-08","7.0"
"International","2020-09","7.0"
"Iran","2020-05","7734.0"
"Iran","2020-06","10670.0"
"Iran","2020-07","16569.0"
"Iran","2020-08","21462.0"
"Iran","2020-09","25986.0"
"Iraq","2020-05","195.0"
"Iraq","2020-06","1839.0"
"Iraq","2020-07","4671.0"
"Iraq","2020-08","6959.0"
"Iraq","2020-09","9122.0"
"Ireland","2020-05","1650.0"
"Ireland","2020-06","1735.0"
"Ireland","2020-07","1763.0"
"Ireland","2020-08","1777.0"
"Ireland","2020-09","1803.0"
"Isle of Man","2020-05","24.0"
"Isle of Man","2020-06","24.0"
"Isle of Man","2020-07","24.0"
"Isle of Man","2020-08","24.0"
"Isle of Man","2020-09","24.0"
"Israel","2020-05","284.0"
"Israel","2020-06","319.0"
"Israel","2020-07","503.0"
"Israel","2020-08","919.0"
"Israel","2020-09","1528.0"
"Italy","2020-05","33340.0"
"Italy","2020-06","34744.0"
"Italy","2020-07","35132.0"
"Italy","2020-08","35477.0"
"Italy","2020-09","35875.0"
"Jamaica","2020-05","9.0"
"Jamaica","2020-06","10.0"
"Jamaica","2020-07","10.0"
"Jamaica","2020-08","21.0"
"Jamaica","2020-09","100.0"
"Japan","2020-05","891.0"
"Japan","2020-06","972.0"
"Japan","2020-07","1005.0"
"Japan","2020-08","1279.0"
"Japan","2020-09","1564.0"
"Jersey","2020-05","29.0"
"Jersey","2020-06","31.0"
"Jersey","2020-07","31.0"
"Jersey","2020-08","32.0"
"Jersey","2020-09","32.0"
"Jordan","2020-05","9.0"
"Jordan","2020-06","9.0"
"Jordan","2020-07","11.0"
"Jordan","2020-08","15.0"
"Jordan","2020-09","57.0"
"Kazakhstan","2020-05","38.0"
"Kazakhstan","2020-06","188.0"
"Kazakhstan","2020-07","793.0"
"Kazakhstan","2020-08","1781.0"
"Kazakhstan","2020-09","2078.0"
"Kenya","2020-05","63.0"
"Kenya","2020-06","144.0"
"Kenya","2020-07","325.0"
"Kenya","2020-08","574.0"
"Kenya","2020-09","707.0"
"Kosovo","2020-05","30.0"
"Kosovo","2020-06","49.0"
"Kosovo","2020-07","212.0"
"Kosovo","2020-08","516.0"
"Kosovo","2020-09","625.0"
"Kuwait","2020-05","205.0"
"Kuwait","2020-06","350.0"
"Kuwait","2020-07","445.0"
"Kuwait","2020-08","530.0"
"Kuwait","2020-09","607.0"
"Kyrgyzstan","2020-05","16.0"
"Kyrgyzstan","2020-06","57.0"
"Kyrgyzstan","2020-07","1378.0"
"Kyrgyzstan","2020-08","1500.0"
"Kyrgyzstan","2020-09","1064.0"
"Laos","2020-05","0.0"
"Laos","2020-06","0.0"
"Laos","2020-07","0.0"
"Laos","2020-08","0.0"
"Laos","2020-09","0.0"
"Latvia","2020-05","24.0"
"Latvia","2020-06","30.0"
"Latvia","2020-07","31.0"
"Latvia","2020-08","34.0"
"Latvia","2020-09","37.0"
"Lebanon","2020-05","26.0"
"Lebanon","2020-06","34.0"
"Lebanon","2020-07","57.0"
"Lebanon","2020-08","160.0"
"Lebanon","2020-09","361.0"
"Lesotho","2020-05","0.0"
"Lesotho","2020-06","0.0"
"Lesotho","2020-07","13.0"
"Lesotho","2020-08","31.0"
"Lesotho","2020-09","35.0"
"Liberia","2020-05","27.0"
"Liberia","2020-06","36.0"
"Liberia","2020-07","73.0"
"Liberia","2020-08","82.0"
"Liberia","2020-09","82.0"
"Libya","2020-05","5.0"
"Libya","2020-06","21.0"
"Libya","2020-07","71.0"
"Libya","2020-08","232.0"
"Libya","2020-09","540.0"
"Liechtenstein","2020-05","1.0"
"Liechtenstein","2020-06","1.0"
"Liechtenstein","2020-07","1.0"
"Liechtenstein","2020-08","1.0"
"Liechtenstein","2020-09","1.0"
"Lithuania","2020-05","70.0"
"Lithuania","2020-06","78.0"
"Lithuania","2020-07","80.0"
"Lithuania","2020-08","86.0"
"Lithuania","2020-09","92.0"
"Luxembourg","2020-05","110.0"
"Luxembourg","2020-06","110.0"
"Luxembourg","2020-07","114.0"
"Luxembourg","2020-08","124.0"
"Luxembourg","2020-09","124.0"
"Macedonia","2020-05","131.0"
"Macedonia","2020-06","298.0"
"Macedonia","2020-07","480.0"
"Macedonia","2020-08","584.0"
"Macedonia","2020-09","737.0"
"Madagascar","2020-05","6.0"
"Madagascar","2020-06","20.0"
"Madagascar","2020-07","105.0"
"Madagascar","2020-08","191.0"
"Madagascar","2020-09","229.0"
"Malawi","2020-05","4.0"
"Malawi","2020-06","14.0"
"Malawi","2020-07","109.0"
"Malawi","2020-08","174.0"
"Malawi","2020-09","179.0"
"Malaysia","2020-05","115.0"
"Malaysia","2020-06","121.0"
"Malaysia","2020-07","124.0"
"Malaysia","2020-08","126.0"
"Malaysia","2020-09","134.0"
"Maldives","2020-05","5.0"
"Maldives","2020-06","8.0"
"Maldives","2020-07","16.0"
"Maldives","2020-08","28.0"
"Maldives","2020-09","34.0"
"Mali","2020-05","76.0"
"Mali","2020-06","115.0"
"Mali","2020-07","124.0"
"Mali","2020-08","126.0"
"Mali","2020-09","130.0"
"Malta","2020-05","9.0"
"Malta","2020-06","9.0"
"Malta","2020-07","9.0"
"Malta","2020-08","11.0"
"Malta","2020-09","34.0"
"Mauritania","2020-05","21.0"
"Mauritania","2020-06","126.0"
"Mauritania","2020-07","156.0"
"Mauritania","2020-08","159.0"
"Mauritania","2020-09","161.0"
"Mauritius","2020-05","10.0"
"Mauritius","2020-06","10.0"
"Mauritius","2020-07","10.0"
"Mauritius","2020-08","10.0"
"Mauritius","2020-09","10.0"
"Mexico","2020-05","9779.0"
"Mexico","2020-06","27121.0"
"Mexico","2020-07","46000.0"
"Mexico","2020-08","64158.0"
"Mexico","2020-09","77163.0"
"Moldova","2020-05","291.0"
"Moldova","2020-06","536.0"
"Moldova","2020-07","771.0"
"Moldova","2020-08","992.0"
"Moldova","2020-09","1310.0"
"Monaco","2020-05","1.0"
"Monaco","2020-06","1.0"
"Monaco","2020-07","1.0"
"Monaco","2020-08","1.0"
"Monaco","2020-09","1.0"
"Mongolia","2020-05","0.0"
"Mongolia","2020-06","0.0"
"Mongolia","2020-07","0.0"
"Mongolia","2020-08","0.0"
"Mongolia","2020-09","0.0"
"Montenegro","2020-05","9.0"
"Montenegro","2020-06","11.0"
"Montenegro","2020-07","48.0"
"Montenegro","2020-08","98.0"
"Montenegro","2020-09","164.0"
"Montserrat","2020-05","1.0"
"Montserrat","2020-06","1.0"
"Montserrat","2020-07","1.0"
"Montserrat","2020-08","1.0"
"Montserrat","2020-09","1.0"
"Morocco","2020-05","204.0"
"Morocco","2020-06","225.0"
"Morocco","2020-07","346.0"
"Morocco","2020-08","1111.0"
"Morocco","2020-09","2152.0"
"Mozambique","2020-05","2.0"
"Mozambique","2020-06","6.0"
"Mozambique","2020-07","11.0"
"Mozambique","2020-08","23.0"
"Mozambique","2020-09","59.0"
"Myanmar","2020-05","6.0"
"Myanmar","2020-06","6.0"
"Myanmar","2020-07","6.0"
"Myanmar","2020-08","6.0"
"Myanmar","2020-09","284.0"
"Namibia","2020-05","0.0"
"Namibia","2020-06","0.0"
"Namibia","2020-07","10.0"
"Namibia","2020-08","72.0"
"Namibia","2020-09","121.0"
"Nepal","2020-05","6.0"
"Nepal","2020-06","29.0"
"Nepal","2020-07","52.0"
"Nepal","2020-08","221.0"
"Nepal","2020-09","491.0"
"Netherlands","2020-05","5951.0"
"Netherlands","2020-06","6107.0"
"Netherlands","2020-07","6140.0"
"Netherlands","2020-08","6215.0"
"Netherlands","2020-09","6384.0"
"New Caledonia","2020-05","0.0"
"New Caledonia","2020-06","0.0"
"New Caledonia","2020-07","0.0"
"New Caledonia","2020-08","0.0"
"New Caledonia","2020-09","0.0"
"New Zealand","2020-05","22.0"
"New Zealand","2020-06","22.0"
"New Zealand","2020-07","22.0"
"New Zealand","2020-08","22.0"
"New Zealand","2020-09","25.0"
"Nicaragua","2020-05","35.0"
"Nicaragua","2020-06","74.0"
"Nicaragua","2020-07","116.0"
"Nicaragua","2020-08","137.0"
"Nicaragua","2020-09","149.0"
"Niger","2020-05","64.0"
"Niger","2020-06","67.0"
"Niger","2020-07","69.0"
"Niger","2020-08","69.0"
"Niger","2020-09","69.0"
"Nigeria","2020-05","273.0"
"Nigeria","2020-06","573.0"
"Nigeria","2020-07","878.0"
"Nigeria","2020-08","1013.0"
"Nigeria","2020-09","1111.0"
"Northern Mariana Islands","2020-05","2.0"
"Northern Mariana Islands","2020-06","2.0"
"Northern Mariana Islands","2020-07","2.0"
"Northern Mariana Islands","2020-08","2.0"
"Northern Mariana Islands","2020-09","2.0"
"Norway","2020-05","236.0"
"Norway","2020-06","249.0"
"Norway","2020-07","255.0"
"Norway","2020-08","264.0"
"Norway","2020-09","274.0"
"Oman","2020-05","42.0"
"Oman","2020-06","169.0"
"Oman","2020-07","421.0"
"Oman","2020-08","677.0"
"Oman","2020-09","935.0"
"Pakistan","2020-05","1483.0"
"Pakistan","2020-06","4304.0"
"Pakistan","2020-07","5951.0"
"Pakistan","2020-08","6294.0"
"Pakistan","2020-09","6479.0"
"Palestine","2020-05","5.0"
"Palestine","2020-06","8.0"
"Palestine","2020-07","84.0"
"Palestine","2020-08","166.0"
"Palestine","2020-09","360.0"
"Panama","2020-05","330.0"
"Panama","2020-06","620.0"
"Panama","2020-07","1397.0"
"Panama","2020-08","1995.0"
"Panama","2020-09","2364.0"
"Papua New Guinea","2020-05","0.0"
"Papua New Guinea","2020-06","0.0"
"Papua New Guinea","2020-07","2.0"
"Papua New Guinea","2020-08","5.0"
"Papua New Guinea","2020-09","7.0"
"Paraguay","2020-05","11.0"
"Paraguay","2020-06","16.0"
"Paraguay","2020-07","47.0"
"Paraguay","2020-08","308.0"
